experiment_name,backbone,loss,kl,jsd,cosine,pearson_entropy,spearman_entropy,p_at_100,p_at_200,p_at_500,params,training_time_sec
densenet_bc_kl,densenet_bc_40_12,kl,0.6270932555198669,0.14993920922279358,0.8133490681648254,0.22742301225662231,0.21257344682696427,0.06,0.165,0.35,211923,669.4446587562561
resnet18_kl,resnet18,kl,0.4109272062778473,0.09439270198345184,0.876335620880127,0.313245564699173,0.31022752242953683,0.12,0.22,0.398,11303243,296.0650894641876
vgg13_bn_kl,vgg13_bn,kl,0.41594648361206055,0.09618350118398666,0.8755899667739868,0.3212997615337372,0.3131807436128321,0.1,0.22,0.42,9542347,148.32113099098206
wrn28_2_kl,wideresnet28_2,kl,0.4285305142402649,0.09223777800798416,0.8796781301498413,0.314759761095047,0.32428622926154693,0.11,0.21,0.42,1502427,368.8376636505127
