epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed_sec
1,1.499189067501492,0.4538888888888889,1.1876336517333985,0.5676,9.997532801828658e-05,6.690475225448608
2,1.135902010790507,0.5957333333333333,1.062990985107422,0.6186,9.990133642141359e-05,10.670149326324463
3,0.9650233968628777,0.6597333333333333,0.8767419143676758,0.685,9.977809823015401e-05,14.793100357055664
4,0.8414249830457899,0.7016,0.7624867813110352,0.7252,9.960573506572391e-05,18.863502025604248
5,0.760706839550866,0.7341555555555556,0.7320122413635254,0.7478,9.93844170297569e-05,22.99750828742981
6,0.6983693165991042,0.7564666666666666,0.6764510917663574,0.759,9.911436253643445e-05,27.14733576774597
7,0.6446743922445509,0.7749555555555555,0.6440588539123535,0.775,9.879583809693738e-05,31.189529180526733
8,0.6048107422086928,0.7889333333333334,0.6726755729675293,0.7634,9.842915805643157e-05,35.26220512390137
9,0.5675070933024089,0.8032222222222222,0.6119301170349121,0.7892,9.801468428384717e-05,39.20517659187317
10,0.532263706503974,0.8155777777777777,0.6534609214782715,0.7772,9.75528258147577e-05,43.23810839653015
11,0.5046947273201413,0.8262666666666667,0.5480267459869385,0.8114,9.70440384477113e-05,47.16757416725159
12,0.47425598695278165,0.8352222222222222,0.5328450065612793,0.8168,9.64888242944126e-05,51.24305176734924
13,0.4544774979803297,0.8407555555555556,0.5894889047145844,0.7936,9.588773128419907e-05,55.363508224487305
14,0.42754536289638945,0.8531555555555556,0.4978807172298431,0.8256,9.5241352623301e-05,59.34020161628723
15,0.40945964168707527,0.8574222222222222,0.5284343242645264,0.8216,9.455032620941843e-05,63.46317720413208
16,0.3936939493391249,0.8634,0.4809131232738495,0.8344,9.381533400219321e-05,67.46506881713867
17,0.3743695011350844,0.8700444444444444,0.5333637692451477,0.8168,9.303710135019722e-05,71.54856252670288
18,0.35333385372691684,0.8782888888888889,0.532833454799652,0.83,9.22163962751008e-05,75.53979802131653
19,0.3402791014671326,0.8808,0.5470781141281128,0.8178,9.135402871372814e-05,79.55610227584839
20,0.3255643241670397,0.8877333333333334,0.4419136046409607,0.8538,9.045084971874742e-05,83.5508165359497
21,0.30590297106636893,0.8950666666666667,0.45491134583950044,0.8538,8.950775061878456e-05,87.69630026817322
22,0.29328674687809414,0.8986222222222222,0.43349869184494016,0.858,8.852566213878951e-05,91.68619322776794
23,0.2757103215906355,0.9065333333333333,0.47075576276779174,0.846,8.750555348152303e-05,95.77367854118347
24,0.2668826209757063,0.9076,0.4830008061408997,0.8462,8.644843137107063e-05,99.7275276184082
25,0.2619603516128328,0.9104888888888889,0.4541160915851593,0.854,8.535533905932742e-05,103.71227717399597
26,0.2409391197734409,0.9156444444444445,0.44673300969600677,0.856,8.422735529643448e-05,107.6816885471344
27,0.2380989054441452,0.9167777777777778,0.45549105722904204,0.859,8.306559326618263e-05,111.65473699569702
28,0.22161079173088075,0.9225111111111111,0.49570453996658326,0.853,8.187119948743452e-05,115.61211395263672
29,0.21456747035450405,0.9260888888888889,0.47297443141937257,0.8488,8.064535268264887e-05,119.62550759315491
30,0.2026002587609821,0.9292444444444444,0.5048065743207931,0.8482,7.938926261462371e-05,123.62829780578613
31,0.1917266063478258,0.9335333333333333,0.4432216021537781,0.8614,7.810416889260659e-05,127.6088228225708
32,0.18285065066814424,0.9374222222222223,0.44088597543239594,0.8688,7.679133974894988e-05,131.57291436195374
