epoch,train_loss,val_loss,val_kl,val_jsd,val_cosine,val_entropy_pearson,val_entropy_spearman,train_kl,lr_backbone,lr_head,params,elapsed_sec
1,0.6637096678415935,0.6452358922958374,0.6452358961105347,0.15732331573963165,0.8044494986534119,0.2332240790128708,0.20097905005063077,0.6637097001075745,9.997532801828658e-05,0.0002999259840548597,211923,7.62531304359436
2,0.6374272762934367,0.6452634887695312,0.6452634930610657,0.15694552659988403,0.8025335073471069,0.247374027967453,0.2229159737846114,0.6374272704124451,9.990133642141359e-05,0.0002997040092642407,211923,8.981525897979736
3,0.6277182885805765,0.6489057998657226,0.6489058136940002,0.1557663083076477,0.8030930161476135,0.23897071182727814,0.21783783714666094,0.6277182698249817,9.977809823015401e-05,0.000299334294690462,211923,10.316864728927612
4,0.6193470454216004,0.6516202735900879,0.6516202688217163,0.15603254735469818,0.8014830350875854,0.24437375366687775,0.2122266864839616,0.6193470358848572,9.960573506572391e-05,0.0002988172051971717,211923,11.618728160858154
5,0.6098024853070577,0.6628297696113586,0.6628298163414001,0.15734656155109406,0.798012912273407,0.23968809843063354,0.21075705975212453,0.6098024845123291,9.93844170297569e-05,0.00029815325108927063,211923,12.829278230667114
6,0.5927104447682698,0.6682201991081238,0.6682202219963074,0.15857550501823425,0.797203004360199,0.2254466712474823,0.19897466986167564,0.5927104949951172,9.911436253643445e-05,0.00029734308760930326,211923,14.092146158218384
7,0.5815597863197327,0.6535915970802307,0.6535916328430176,0.1544584333896637,0.8010571002960205,0.23992133140563965,0.21347032238444924,0.5815597772598267,9.879583809693738e-05,0.00029638751429081204,211923,15.42599892616272
8,0.5657300677299499,0.6624256567955017,0.6624256372451782,0.15634475648403168,0.7988027334213257,0.23908349871635437,0.21718115026754065,0.5657300353050232,9.842915805643157e-05,0.0002952874741692946,211923,16.69082808494568
9,0.570092190027237,0.6649017000198364,0.6649016737937927,0.15591110289096832,0.7983769774436951,0.23664133250713348,0.21156743689362237,0.5700921416282654,9.801468428384717e-05,0.00029404405285154137,211923,17.987447023391724
10,0.55419730758667,0.6648495912551879,0.6648496389389038,0.15589672327041626,0.7974115610122681,0.23709264397621155,0.21357062624041706,0.5541973114013672,9.75528258147577e-05,0.0002926584774442729,211923,19.277475833892822
11,0.5516673032442728,0.6632959685325622,0.6632959842681885,0.15421602129936218,0.7991912364959717,0.24263793230056763,0.21842018100115423,0.551667332649231,9.70440384477113e-05,0.00029113211534313374,211923,20.579103469848633
