epoch,train_loss,val_loss,val_kl,val_jsd,val_cosine,val_entropy_pearson,val_entropy_spearman,train_kl,lr_backbone,lr_head,params,elapsed_sec
1,1.8587070401509602,1.4543998098373414,1.454399824142456,0.36882227659225464,0.5641759634017944,0.05687039718031883,0.04628406912246533,1.8587071895599365,9.997532801828658e-05,0.0002999259840548597,1467610,1.0758657455444336
2,1.3862868299484252,1.2084865808486938,1.208486557006836,0.31099966168403625,0.6419172883033752,0.12702293694019318,0.10323067288361554,1.386286735534668,9.990133642141359e-05,0.0002997040092642407,1467610,2.1926791667938232
3,1.1355762513478598,1.000722457408905,1.0007225275039673,0.25805404782295227,0.698199987411499,0.184738889336586,0.17565490841326917,1.1355762481689453,9.977809823015401e-05,0.000299334294690462,1467610,3.2979233264923096
4,0.9844398198127746,0.8935127372741699,0.8935126066207886,0.22532208263874054,0.7235656380653381,0.20732450485229492,0.1985915618500595,0.9844397902488708,9.960573506572391e-05,0.0002988172051971717,1467610,4.417471647262573
5,0.8733460375467936,0.8028474326133728,0.8028474450111389,0.2036733478307724,0.7553099989891052,0.21628521382808685,0.1945061460256668,0.8733460307121277,9.93844170297569e-05,0.00029815325108927063,1467610,5.544128894805908
6,0.7790282548268636,0.735211693763733,0.7352116703987122,0.1818443238735199,0.7723622918128967,0.2214319109916687,0.22282336278474119,0.7790282368659973,9.911436253643445e-05,0.00029734308760930326,1467610,6.653586387634277
7,0.71480415503184,0.7067079448699951,0.7067079544067383,0.17123907804489136,0.7833321690559387,0.24307608604431152,0.2530976054574367,0.7148041129112244,9.879583809693738e-05,0.00029638751429081204,1467610,7.7687482833862305
8,0.6660657962163289,0.6622929134368897,0.6622928380966187,0.15836593508720398,0.7985910177230835,0.2564678490161896,0.27171479890273786,0.6660658121109009,9.842915805643157e-05,0.0002952874741692946,1467610,8.883080244064331
9,0.6181364830334981,0.667529999256134,0.6675299406051636,0.15374071896076202,0.8003199100494385,0.25682878494262695,0.26176863410263146,0.618136465549469,9.801468428384717e-05,0.00029404405285154137,1467610,9.981324672698975
10,0.5815706249872843,0.6673213839530945,0.6673213243484497,0.15304410457611084,0.7965987324714661,0.26886671781539917,0.28411394743516416,0.5815706253051758,9.75528258147577e-05,0.0002926584774442729,1467610,11.058134078979492
11,0.5529976269404093,0.5880522384643555,0.5880522727966309,0.13547490537166595,0.8249927163124084,0.27543216943740845,0.28229662234006153,0.5529976487159729,9.70440384477113e-05,0.00029113211534313374,1467610,12.132870197296143
12,0.5144969711303711,0.6602223129272461,0.6602224111557007,0.14526963233947754,0.8031174540519714,0.23715044558048248,0.2504762454588589,0.514496922492981,9.64888242944126e-05,0.0002894664728832376,1467610,13.291091680526733
13,0.49489401054382326,0.6557136368751526,0.6557136178016663,0.1410883218050003,0.8091779947280884,0.27018630504608154,0.2797812905828003,0.49489396810531616,9.588773128419907e-05,0.0002876631938525971,1467610,14.346771001815796
14,0.4896367081801097,0.6218221774101257,0.6218221187591553,0.13369961082935333,0.8190251588821411,0.2504440248012543,0.27066634777797627,0.48963668942451477,9.5241352623301e-05,0.0002857240578699029,1467610,15.427196741104126
15,0.4564867839018504,0.6362243647575379,0.6362243890762329,0.1334575116634369,0.8170643448829651,0.28662556409835815,0.30859335696112755,0.4564868211746216,9.455032620941843e-05,0.00028365097862825513,1467610,16.503987312316895
16,0.43678398442268374,0.6198514246940613,0.6198514699935913,0.1290847659111023,0.8231878876686096,0.30054572224617004,0.3276556459633369,0.43678396940231323,9.381533400219321e-05,0.0002814460020065795,1467610,17.59507155418396
17,0.42551514410972596,0.5855276637077331,0.5855275988578796,0.12429121881723404,0.8314013481140137,0.28274306654930115,0.3041908685892678,0.42551514506340027,9.303710135019722e-05,0.0002791113040505915,1467610,18.666624307632446
18,0.41709253350893655,0.5843221464157105,0.5843221545219421,0.12193547189235687,0.8364815711975098,0.26634591817855835,0.2789645090244756,0.41709253191947937,9.22163962751008e-05,0.00027664918882530225,1467610,19.796741247177124
19,0.3992531147003174,0.6127681651115418,0.6127681732177734,0.12569403648376465,0.8277686834335327,0.2637476325035095,0.27837178209676355,0.39925310015678406,9.135402871372814e-05,0.00027406208614118424,1467610,20.93891191482544
20,0.39333943525950116,0.5871223802566529,0.58712238073349,0.11851300299167633,0.8386950492858887,0.29906705021858215,0.31385900362139624,0.3933394253253937,9.045084971874742e-05,0.0002713525491562421,1467610,22.005643844604492
21,0.3779428746700287,0.5719188909530639,0.5719189643859863,0.11945222318172455,0.8396845459938049,0.2757555842399597,0.2830156832175476,0.37794286012649536,8.950775061878456e-05,0.00026852325185635354,1467610,23.091845750808716
22,0.3600120447476705,0.57691827917099,0.5769182443618774,0.11761098355054855,0.8400882482528687,0.2921846807003021,0.31047325124881664,0.3600120544433594,8.852566213878951e-05,0.0002655769864163684,1467610,24.19381856918335
23,0.3596825761795044,0.5927012958526612,0.5927013754844666,0.11726111173629761,0.8384769558906555,0.29931381344795227,0.32339605077999056,0.3596826195716858,8.750555348152303e-05,0.00026251666044456895,1467610,25.26329278945923
24,0.35257488004366555,0.584250361919403,0.5842503905296326,0.11654023826122284,0.8424436450004578,0.28426748514175415,0.29191979658727857,0.3525748550891876,8.644843137107063e-05,0.0002593452941132118,1467610,26.35928201675415
25,0.34232021657625833,0.5913384647369385,0.5913385152816772,0.11680653691291809,0.8410193920135498,0.27685219049453735,0.2770639760962511,0.34232020378112793,8.535533905932742e-05,0.0002560660171779822,1467610,27.44084358215332
26,0.3338769864241282,0.5788798313140869,0.5788798332214355,0.11658892780542374,0.8393621444702148,0.30021655559539795,0.3126862625766627,0.33387696743011475,8.422735529643448e-05,0.00025268206588930335,1467610,28.555326461791992
27,0.32530830399195354,0.6148384852409363,0.6148384809494019,0.12086305022239685,0.8312634229660034,0.261682391166687,0.3020912753355501,0.32530832290649414,8.306559326618263e-05,0.0002491967797985478,1467610,29.648032903671265
28,0.3113873048623403,0.5795707240104675,0.5795707106590271,0.11490126699209213,0.8422103524208069,0.30887946486473083,0.3142018111101181,0.311387300491333,8.187119948743452e-05,0.0002456135984623035,1467610,30.7005774974823
29,0.30728695503870646,0.6191056323051453,0.6191056370735168,0.11942487955093384,0.8323627710342407,0.27623504400253296,0.2852327125554589,0.30728694796562195,8.064535268264887e-05,0.00024193605804794655,1467610,31.777889013290405
30,0.3122503218650818,0.5736949667930603,0.5736949443817139,0.11183523386716843,0.8451673984527588,0.310258150100708,0.3175148071981865,0.3122503161430359,7.938926261462371e-05,0.00023816778784387105,1467610,32.84408354759216
31,0.29943470335006717,0.5463816633224488,0.5463817119598389,0.10977382212877274,0.8498572111129761,0.3003058135509491,0.302739337463584,0.29943472146987915,7.810416889260659e-05,0.00023431250667781966,1467610,33.919389963150024
32,0.29088042871157327,0.5939990901947021,0.5939990878105164,0.11326231807470322,0.8438966870307922,0.28678491711616516,0.3047972284165571,0.2908804416656494,7.679133974894988e-05,0.00023037401924684952,1467610,35.01474857330322
33,0.2841526127656301,0.5857427163124085,0.5857426524162292,0.11428363621234894,0.8427786827087402,0.2893171012401581,0.3038678583595417,0.2841525971889496,7.545207078751862e-05,0.00022635621236255572,1467610,36.09819030761719
34,0.2845823152860006,0.5862612009048462,0.5862612128257751,0.11216030269861221,0.8433269262313843,0.2979288101196289,0.3145325574849827,0.2845822870731354,7.408768370508582e-05,0.00022226305111525731,1467610,37.187872886657715
35,0.27389379636446637,0.585402108669281,0.5854020714759827,0.11058585345745087,0.8465299010276794,0.2854562997817993,0.28081678332994875,0.273893803358078,7.26995249869774e-05,0.00021809857496093204,1467610,38.275954723358154
36,0.26705691703160606,0.5767508988380432,0.5767509341239929,0.10909247398376465,0.8476100564002991,0.30893388390541077,0.31002102008382787,0.2670569121837616,7.12889645782537e-05,0.00021386689373476092,1467610,39.36356449127197
37,0.2629405167897542,0.5892124791145325,0.5892125368118286,0.11004474014043808,0.8465224504470825,0.30499088764190674,0.31138387097132064,0.26294049620628357,6.985739453173908e-05,0.00020957218359521712,1467610,40.443620443344116
38,0.2599551420211792,0.5973192591667176,0.5973192453384399,0.11171537637710571,0.844279408454895,0.3080774247646332,0.3274281313577492,0.25995516777038574,6.840622763423397e-05,0.00020521868290270177,1467610,41.515438079833984
39,0.253477699359258,0.5786732268333435,0.5786733031272888,0.1075400561094284,0.8505894541740417,0.30671852827072144,0.30696467684828715,0.25347769260406494,6.693689601226464e-05,0.00020081068803679377,1467610,42.58783578872681
40,0.24215923392772676,0.5751097016334533,0.5751096606254578,0.10724828392267227,0.8510832786560059,0.3045940697193146,0.31367011149806434,0.24215924739837646,6.545084971874744e-05,0.00019635254915624216,1467610,43.65954852104187
41,0.24161135601997374,0.5747861261367798,0.5747861266136169,0.10707038640975952,0.8522042036056519,0.29401490092277527,0.29540450377189803,0.24161134660243988,6.394955530196154e-05,0.00019184866590588444,1467610,44.73603844642639
