epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed_sec
22,0.5511163348197937,0.8083111111111111,0.5783007404327393,0.799,8.852566213878951e-05,122.13464999198914
23,0.5365353089650472,0.8128222222222222,0.5530443487167358,0.8074,8.750555348152303e-05,127.32418727874756
24,0.5237625864028931,0.8169111111111111,0.5270217427492142,0.815,8.644843137107063e-05,132.41255974769592
25,0.5127380469375187,0.8206,0.5249364988088607,0.821,8.535533905932742e-05,137.642596244812
26,0.4989367648071713,0.8247777777777778,0.5317264712333679,0.8208,8.422735529643448e-05,142.98101139068604
27,0.4882793383333418,0.8302,0.5281718968629837,0.8192,8.306559326618263e-05,148.22744798660278
28,0.47082744437323676,0.8333333333333334,0.5067826414823532,0.8246,8.187119948743452e-05,153.41484236717224
29,0.46238648506800334,0.8397555555555556,0.5083516742229461,0.8304,8.064535268264887e-05,158.65975689888
30,0.45693900554974876,0.8406,0.4857698203086853,0.8306,7.938926261462371e-05,163.90702652931213
31,0.44883502391179403,0.8425777777777778,0.48337347469329833,0.834,7.810416889260659e-05,169.10538625717163
32,0.4359502243836721,0.8482444444444445,0.5088911047935486,0.832,7.679133974894988e-05,174.21217918395996
33,0.42884502941237557,0.8507333333333333,0.5241623865842819,0.8214,7.545207078751862e-05,179.4918293952942
34,0.4218876975801256,0.8504888888888888,0.461609335064888,0.8404,7.408768370508582e-05,184.6493330001831
35,0.4126271245426602,0.8559777777777777,0.4669629384994507,0.8462,7.26995249869774e-05,189.95850348472595
36,0.4040223766591814,0.8597111111111111,0.46192166638374327,0.8446,7.12889645782537e-05,195.1691198348999
37,0.3944271513091193,0.8621555555555556,0.4749510889053345,0.8392,6.985739453173908e-05,200.43423080444336
38,0.385254824535052,0.8667111111111111,0.4528353052616119,0.8384,6.840622763423397e-05,205.6875832080841
39,0.3766578624142541,0.8675333333333334,0.4585267912864685,0.8434,6.693689601226464e-05,210.84122347831726
40,0.3704321234756046,0.8715111111111111,0.485739532327652,0.8422,6.545084971874744e-05,215.9960331916809
41,0.36964440902603996,0.8708222222222223,0.45727554376125334,0.8476,6.394955530196154e-05,221.1629877090454
42,0.3627149476687113,0.8730888888888889,0.4321699455738068,0.8508,6.24344943582428e-05,226.4787471294403
43,0.35692040015856424,0.8758888888888889,0.4497006153821945,0.8498,6.0907162069827195e-05,231.79558682441711
44,0.3459736319647895,0.8798888888888889,0.4642938983440399,0.846,5.93690657292863e-05,237.02076888084412
45,0.3442027391221788,0.8779777777777777,0.41876412227153775,0.8558,5.7821723252011606e-05,242.33381414413452
46,0.3306763816409641,0.8851333333333333,0.4384271610021591,0.8496,5.6266661678215284e-05,247.5671374797821
47,0.3249156334929996,0.8858888888888888,0.4166326694726944,0.8594,5.470541566592577e-05,252.7619731426239
48,0.3247774661593967,0.8864444444444445,0.43607912611961364,0.8574,5.313952597646573e-05,258.032591342926
49,0.31847272887759737,0.8884444444444445,0.42755601255893705,0.859,5.1570537953906474e-05,263.2992060184479
50,0.3150161740726895,0.8897333333333334,0.41526208872795106,0.8592,5.0000000000000057e-05,268.40032052993774
51,0.308961715804206,0.8907555555555555,0.42848930835723875,0.8608,4.842946204609364e-05,273.62834429740906
52,0.3066926690896352,0.8910888888888889,0.4208806614160538,0.8632,4.686047402353438e-05,278.93299984931946
53,0.2961476909107632,0.8966666666666666,0.42293322484493256,0.8554,4.529458433407433e-05,284.18393659591675
54,0.2940160663286845,0.8965111111111111,0.4188693019390106,0.861,4.3733338321784836e-05,289.4221541881561
55,0.289306759346856,0.8967555555555555,0.403968976354599,0.868,4.21782767479885e-05,294.5911886692047
56,0.2840689535193973,0.9002444444444444,0.43600041716098786,0.8564,4.0630934270713814e-05,299.78060150146484
57,0.2850212568071153,0.9002444444444444,0.42821724071502687,0.8606,3.909283793017293e-05,305.1326994895935
58,0.27406469292640684,0.9042666666666667,0.4133863941669464,0.8656,3.75655056417573e-05,310.2301857471466
59,0.27004828485912746,0.9044444444444445,0.41152356345653535,0.8678,3.605044469803859e-05,315.46262216567993
60,0.27190894344647726,0.9039555555555555,0.40838045268058776,0.8624,3.454915028125269e-05,320.6977427005768
61,0.267711448876063,0.9073333333333333,0.4151693592309952,0.868,3.3063103987735474e-05,326.04463171958923
62,0.2677088093757629,0.9046888888888889,0.4155247768878937,0.8674,3.159377236576616e-05,331.31385493278503
63,0.26174876319037543,0.9081111111111111,0.4178721703529358,0.8648,3.0142605468261005e-05,336.4403347969055
64,0.2545767471525404,0.9106888888888889,0.408096559715271,0.8642,2.8711035421746404e-05,341.7492723464966
65,0.24854749876128301,0.9122444444444444,0.42005299303531646,0.8708,2.73004750130227e-05,346.917827129364
