epoch,train_loss,val_loss,val_kl,val_jsd,val_cosine,val_entropy_pearson,val_entropy_spearman,train_kl,lr_backbone,lr_head,params,elapsed_sec
1,0.46723082367579144,0.4369662742614746,0.43696627020835876,0.09458645433187485,0.8778497576713562,0.3207601010799408,0.3273217095796976,0.46723079681396484,9.997532801828658e-05,0.0002999259840548597,1502427,5.067598819732666
2,0.4220376504262288,0.425735004901886,0.4257349967956543,0.09395301342010498,0.880316972732544,0.3428840935230255,0.33313357027388374,0.42203763127326965,9.990133642141359e-05,0.0002997040092642407,1502427,6.213219881057739
3,0.41057606267929075,0.43704718780517576,0.43704718351364136,0.0951601043343544,0.8765648007392883,0.3284589946269989,0.32037631590569543,0.4105760455131531,9.977809823015401e-05,0.000299334294690462,1502427,7.417346954345703
4,0.39667878826459246,0.4314687077999115,0.4314687252044678,0.09492716193199158,0.8774271011352539,0.34846580028533936,0.33466256202221006,0.3966788053512573,9.960573506572391e-05,0.0002988172051971717,1502427,8.542774200439453
5,0.3726813250382741,0.454292977809906,0.45429298281669617,0.09767545014619827,0.8720992207527161,0.3242708742618561,0.32467967158691097,0.3726813495159149,9.93844170297569e-05,0.00029815325108927063,1502427,9.680781602859497
6,0.36300497301419576,0.4211988146305084,0.4211988151073456,0.09186525642871857,0.8816663026809692,0.35451754927635193,0.33408375461409984,0.3630049526691437,9.911436253643445e-05,0.00029734308760930326,1502427,10.831603050231934
7,0.34411846176783245,0.43217282724380496,0.43217283487319946,0.09376046061515808,0.8759443163871765,0.3415015935897827,0.3454458219598335,0.3441184461116791,9.879583809693738e-05,0.00029638751429081204,1502427,11.971659660339355
8,0.3400135052204132,0.44850181674957273,0.4485017955303192,0.09552256017923355,0.8725916743278503,0.35197705030441284,0.364071814099458,0.3400135040283203,9.842915805643157e-05,0.0002952874741692946,1502427,13.083199977874756
9,0.33411161057154337,0.4386304552555084,0.43863043189048767,0.09343723952770233,0.8773850202560425,0.331565260887146,0.3332114905474328,0.33411160111427307,9.801468428384717e-05,0.00029404405285154137,1502427,14.195544242858887
10,0.32816585040092466,0.4696357424259186,0.4696357548236847,0.098873071372509,0.8671488165855408,0.33048298954963684,0.32822989398011576,0.32816585898399353,9.75528258147577e-05,0.0002926584774442729,1502427,15.302078485488892
11,0.31232845266660053,0.4402495565414429,0.44024956226348877,0.0921202152967453,0.8783938884735107,0.31394562125205994,0.30957153737939697,0.3123284578323364,9.70440384477113e-05,0.00029113211534313374,1502427,16.392396211624146
12,0.3025547403494517,0.44964957213401796,0.44964954257011414,0.09496918320655823,0.8735786080360413,0.35470977425575256,0.35632853177870966,0.30255475640296936,9.64888242944126e-05,0.0002894664728832376,1502427,17.50454545021057
13,0.30304661599795024,0.4498738648891449,0.4498738646507263,0.09295628219842911,0.8763474225997925,0.34273582696914673,0.34902993022715045,0.3030466139316559,9.588773128419907e-05,0.0002876631938525971,1502427,18.627354383468628
14,0.2909085397720337,0.4355224168300629,0.4355224072933197,0.08932700008153915,0.8806717395782471,0.34288930892944336,0.35465836738447576,0.290908545255661,9.5241352623301e-05,0.0002857240578699029,1502427,19.73467755317688
15,0.2727593962351481,0.44472190451622007,0.44472190737724304,0.09293311834335327,0.8772212862968445,0.33373209834098816,0.33366452610150815,0.27275940775871277,9.455032620941843e-05,0.00028365097862825513,1502427,20.822307586669922
16,0.27061972363789877,0.4441018307209015,0.44410184025764465,0.09206423908472061,0.876465916633606,0.34075385332107544,0.3441913142135021,0.2706197202205658,9.381533400219321e-05,0.0002814460020065795,1502427,21.91983652114868
