epoch,train_loss,val_loss,val_kl,val_jsd,val_cosine,val_entropy_pearson,val_entropy_spearman,train_kl,lr_backbone,lr_head,params,elapsed_sec
1,0.09399430747826894,0.08299432784318923,0.42107394337654114,0.08299436420202255,0.8911802768707275,0.33937057852745056,0.3086686216487882,0.4396412670612335,9.997532801828658e-05,0.0002999259840548597,11303243,4.672076940536499
2,0.07728452197710672,0.08734085804224015,0.4249958097934723,0.08734090626239777,0.8832608461380005,0.29584309458732605,0.2945795571133935,0.3746967315673828,9.990133642141359e-05,0.0002997040092642407,11303243,6.04786491394043
3,0.06953249788284302,0.08490196949243546,0.4417242109775543,0.08490201085805893,0.8843641877174377,0.3407752513885498,0.3182240674368218,0.3487217128276825,9.977809823015401e-05,0.000299334294690462,11303243,7.349913597106934
4,0.06270589669545491,0.08615792846679687,0.4452112317085266,0.08615797758102417,0.8812667727470398,0.3321152329444885,0.3528479370529719,0.32590553164482117,9.960573506572391e-05,0.0002988172051971717,11303243,8.64586353302002
5,0.05820040002465248,0.08667749351263046,0.4575023055076599,0.08667753636837006,0.8795799016952515,0.3154979646205902,0.32038326812565765,0.31334108114242554,9.93844170297569e-05,0.00029815325108927063,11303243,9.943803548812866
6,0.05675257611274719,0.08288600039482116,0.4496501088142395,0.08288603276014328,0.886752188205719,0.316916823387146,0.3192399935375011,0.3085983991622925,9.911436253643445e-05,0.00029734308760930326,11303243,11.245376825332642
7,0.04909295951326688,0.08525815415382386,0.48043927550315857,0.08525819331407547,0.8825862407684326,0.34511688351631165,0.3266449059340611,0.2754051983356476,9.879583809693738e-05,0.00029638751429081204,11303243,12.539562225341797
8,0.04824474546313286,0.0873171614408493,0.48553285002708435,0.08731719851493835,0.8766646385192871,0.35400766134262085,0.3376355809377554,0.28318220376968384,9.842915805643157e-05,0.0002952874741692946,11303243,13.826077699661255
9,0.04360637541611989,0.08895700579881669,0.5235771536827087,0.0889570489525795,0.8750122785568237,0.3094446659088135,0.3231597800445255,0.2636207044124603,9.801468428384717e-05,0.00029404405285154137,11303243,15.129175662994385
10,0.041900489111741386,0.08413124138116837,0.49833324551582336,0.08413127809762955,0.8828393220901489,0.34829410910606384,0.30929443478396673,0.26160281896591187,9.75528258147577e-05,0.0002926584774442729,11303243,16.443708181381226
11,0.04074470275640488,0.08690177667140961,0.5353230834007263,0.08690181374549866,0.8781400322914124,0.31495505571365356,0.2977684040396843,0.26275572180747986,9.70440384477113e-05,0.00029113211534313374,11303243,17.74934196472168
