epoch,train_loss,train_acc,val_loss,val_acc,lr,elapsed_sec
1,1.6048824731402926,0.4066444444444444,1.2615642608642579,0.5428,9.997532801828658e-05,13.852602243423462
2,1.2112537190649244,0.5612222222222222,1.0871041412353515,0.606,9.990133642141359e-05,20.9624445438385
3,1.0208130860964457,0.6377111111111111,0.8956634536743164,0.68,9.977809823015401e-05,28.090757369995117
4,0.8849592185232374,0.6877777777777778,0.8123278732299805,0.7054,9.960573506572391e-05,35.29210901260376
5,0.7904228893915812,0.7222888888888889,0.7561247985839844,0.7266,9.93844170297569e-05,42.40458559989929
6,0.7112798660490248,0.75,0.7095969123840332,0.7496,9.911436253643445e-05,49.552117347717285
7,0.6521743031289843,0.7738,0.6424871520996094,0.7774,9.879583809693738e-05,56.75478410720825
8,0.605820020061069,0.7902,0.6223653091430664,0.7836,9.842915805643157e-05,63.87977623939514
9,0.5630103716320461,0.8042,0.6086892803192139,0.78,9.801468428384717e-05,71.07715582847595
10,0.5286052453041077,0.8165777777777777,0.5741204246520996,0.7962,9.75528258147577e-05,78.21586441993713
11,0.49113579275343155,0.8294666666666667,0.5464359670639038,0.8102,9.70440384477113e-05,85.34763026237488
12,0.4620676334751977,0.8398444444444444,0.5414324959754944,0.814,9.64888242944126e-05,92.48017883300781
13,0.43857281431092154,0.8478222222222223,0.5234116634368896,0.8188,9.588773128419907e-05,99.61433482170105
14,0.4160359795835283,0.8567333333333333,0.49790908641815185,0.826,9.5241352623301e-05,106.76909828186035
15,0.3917528623898824,0.8651555555555556,0.47088397397994997,0.8398,9.455032620941843e-05,113.95154523849487
16,0.3695547005282508,0.8718666666666667,0.45992925186157224,0.8446,9.381533400219321e-05,121.15305590629578
17,0.3523107576635149,0.8796666666666667,0.4947403938770294,0.8342,9.303710135019722e-05,128.29210758209229
18,0.32859369609620837,0.8873111111111112,0.46420315008163454,0.8434,9.22163962751008e-05,135.3257839679718
19,0.3127944161785973,0.8936,0.48751648235321043,0.8388,9.135402871372814e-05,142.3476939201355
20,0.3013208670404222,0.895,0.47525255827903745,0.8428,9.045084971874742e-05,149.35634779930115
21,0.2824793342219459,0.9024222222222222,0.44198519899845123,0.858,8.950775061878456e-05,156.38585758209229
22,0.2700643586953481,0.9058666666666667,0.4453399645090103,0.853,8.852566213878951e-05,163.5455265045166
23,0.2578682362980313,0.9100222222222222,0.41805038034915926,0.8604,8.750555348152303e-05,170.6017677783966
24,0.2398103250980377,0.9157555555555555,0.4183323931217194,0.8644,8.644843137107063e-05,177.7675986289978
25,0.22550067221853468,0.9209555555555555,0.4109339978456497,0.8718,8.535533905932742e-05,184.8129906654358
26,0.22511618767314487,0.9205555555555556,0.4110420233488083,0.8726,8.422735529643448e-05,192.02975964546204
27,0.20388076678646935,0.9289111111111111,0.4513936101436615,0.8652,8.306559326618263e-05,199.0839719772339
28,0.19502714852227104,0.9311333333333334,0.4024371944665909,0.873,8.187119948743452e-05,206.10650491714478
29,0.18675387343035804,0.9343555555555556,0.430388023519516,0.869,8.064535268264887e-05,213.24967288970947
30,0.1785177282280392,0.9377777777777778,0.4157328426837921,0.8692,7.938926261462371e-05,220.28187084197998
31,0.16932218204339344,0.9404444444444444,0.481836030960083,0.8644,7.810416889260659e-05,227.30586552619934
32,0.1538231401602427,0.9467777777777778,0.4208948704004288,0.8764,7.679133974894988e-05,234.338787317276
33,0.15189487055804995,0.9464,0.46944037330150606,0.863,7.545207078751862e-05,241.38084387779236
34,0.14709151608546575,0.9495777777777777,0.4384635488986969,0.874,7.408768370508582e-05,248.4515414237976
35,0.13125422693226071,0.9546888888888889,0.4547384330034256,0.8732,7.26995249869774e-05,255.48183941841125
36,0.1267584505558014,0.9559777777777778,0.4269717215538025,0.8824,7.12889645782537e-05,262.5371935367584
37,0.12309359369277954,0.9577555555555556,0.4613675541639328,0.8702,6.985739453173908e-05,269.56797981262207
38,0.11261727703412373,0.9612,0.4720761270523071,0.8716,6.840622763423397e-05,276.6055269241333
